Fecha,PET
01/01/2001,32.3576
09/01/2001,36.2729
17/01/2001,38.1152
25/01/2001,41.2481
02/02/2001,36.5293
10/02/2001,45.1618
18/02/2001,43.9453
26/02/2001,41.859
06/03/2001,56.1904
14/03/2001,55.9969
22/03/2001,53.269
30/03/2001,66.2278
07/04/2001,61.7501
15/04/2001,50.6228
23/04/2001,40.232
01/05/2001,43.5806
09/05/2001,47.0094
17/05/2001,51.2747
25/05/2001,55.5327
02/06/2001,46.9012
10/06/2001,28.7541
18/06/2001,16.3687
04/07/2001,44.1459
12/07/2001,48.6667
20/07/2001,39.5291
28/07/2001,47.9416
05/08/2001,45.67
13/08/2001,56.0318
21/08/2001,42.8928
29/08/2001,43.6275
06/09/2001,37.6641
14/09/2001,45.6535
22/09/2001,35.2815
30/09/2001,39.4562
08/10/2001,37.6563
16/10/2001,40.8475
24/10/2001,36.917
01/11/2001,37.0906
09/11/2001,28.9321
17/11/2001,33.9014
25/11/2001,36.9226
03/12/2001,32.7716
11/12/2001,35.4546
19/12/2001,27.8229
27/12/2001,17.4754
01/01/2002,36.1982
09/01/2002,34.8899
17/01/2002,43.011
25/01/2002,41.9853
02/02/2002,38.3032
10/02/2002,33.0636
18/02/2002,41.1003
26/02/2002,50.7222
06/03/2002,49.9823
14/03/2002,57.2884
22/03/2002,57.1641
30/03/2002,52.514
07/04/2002,51.0756
15/04/2002,55.193
23/04/2002,62.3201
01/05/2002,60.8476
09/05/2002,51.7006
17/05/2002,49.5541
25/05/2002,56.4011
02/06/2002,43.3702
10/06/2002,48.1014
18/06/2002,52.5446
26/06/2002,44.6309
04/07/2002,38.1418
12/07/2002,38.2269
20/07/2002,47.4512
28/07/2002,51.7025
05/08/2002,53.5131
13/08/2002,48.5638
21/08/2002,46.8088
29/08/2002,38.3645
06/09/2002,29.7267
14/09/2002,34.0007
22/09/2002,38.6003
30/09/2002,40.349
08/10/2002,35.8139
16/10/2002,31.7423
24/10/2002,35.1235
01/11/2002,27.2575
09/11/2002,31.56
17/11/2002,36.7068
25/11/2002,33.6359
03/12/2002,31.115
11/12/2002,30.9055
19/12/2002,32.0162
27/12/2002,18.3266
01/01/2003,28.3733
09/01/2003,27.5336
17/01/2003,35.1363
25/01/2003,30.2481
02/02/2003,40.5871
10/02/2003,44.1989
18/02/2003,47.8093
26/02/2003,58.2365
06/03/2003,53.7153
14/03/2003,53.5625
22/03/2003,56.6454
30/03/2003,47.9143
07/04/2003,49.4053
15/04/2003,54.9012
23/04/2003,63.4147
01/05/2003,65.1736
09/05/2003,58.6715
17/05/2003,58.7419
25/05/2003,43.82
02/06/2003,34.1088
10/06/2003,34.6324
18/06/2003,31.7772
26/06/2003,34.9849
04/07/2003,42.3648
12/07/2003,51.7052
20/07/2003,52.136
28/07/2003,49.1575
05/08/2003,54.6644
13/08/2003,38.7491
21/08/2003,42.5693
29/08/2003,41.7022
06/09/2003,40.8488
14/09/2003,38.9358
22/09/2003,34.7928
30/09/2003,33.3736
08/10/2003,33.7817
16/10/2003,38.3715
24/10/2003,39.5121
01/11/2003,37.5343
09/11/2003,36.1272
17/11/2003,36.1043
25/11/2003,34.3195
03/12/2003,32.6864
11/12/2003,37.1733
19/12/2003,37.2264
27/12/2003,20.8078
01/01/2004,35.2467
09/01/2004,26.8018
17/01/2004,37.941
25/01/2004,33.6564
02/02/2004,45.2506
10/02/2004,44.5164
18/02/2004,52.6641
26/02/2004,53.171
05/03/2004,49.4619
13/03/2004,47.187
21/03/2004,48.9153
29/03/2004,42.5713
06/04/2004,59.2347
14/04/2004,55.3531
22/04/2004,57.7205
30/04/2004,42.1782
08/05/2004,45.0425
16/05/2004,52.9573
24/05/2004,51.2295
01/06/2004,33.552
09/06/2004,42.5191
17/06/2004,46.5405
25/06/2004,55.1485
03/07/2004,52.1339
11/07/2004,51.9577
19/07/2004,45.251
27/07/2004,43.3736
04/08/2004,54.6707
12/08/2004,48.1167
20/08/2004,53.9866
28/08/2004,40.611
05/09/2004,40.7253
13/09/2004,37.2837
21/09/2004,33.1065
29/09/2004,28.9458
07/10/2004,28.1452
15/10/2004,44.9392
23/10/2004,42.8592
31/10/2004,38.225
08/11/2004,37.9635
16/11/2004,41.3101
24/11/2004,39.4174
02/12/2004,39.4618
10/12/2004,28.567
18/12/2004,30.3777
26/12/2004,26.8021
01/01/2005,40.3045
09/01/2005,34.2022
17/01/2005,27.5613
25/01/2005,39.7926
02/02/2005,38.0761
10/02/2005,45.7472
18/02/2005,37.4521
26/02/2005,47.2497
06/03/2005,49.5718
14/03/2005,54.3856
22/03/2005,63.1322
30/03/2005,61.0345
07/04/2005,60.5185
15/04/2005,49.8856
23/04/2005,59.5307
01/05/2005,56.9041
09/05/2005,47.6562
17/05/2005,59.1929
25/05/2005,54.7809
02/06/2005,57.9463
10/06/2005,58.7835
18/06/2005,42.4284
26/06/2005,38.8512
04/07/2005,44.32
12/07/2005,42.8072
20/07/2005,39.7498
28/07/2005,46.6676
05/08/2005,42.4818
13/08/2005,41.3766
21/08/2005,42.0867
29/08/2005,36.3545
06/09/2005,45.4903
14/09/2005,48.5934
22/09/2005,46.5806
30/09/2005,33.1902
08/10/2005,38.605
16/10/2005,46.6808
24/10/2005,37.0174
01/11/2005,39.6647
09/11/2005,36.1594
17/11/2005,31.7959
25/11/2005,36.576
03/12/2005,28.2459
11/12/2005,34.2533
19/12/2005,31.7372
27/12/2005,26.833
01/01/2006,40.7788
09/01/2006,38.1209
17/01/2006,40.1416
25/01/2006,29.7571
02/02/2006,44.2663
10/02/2006,42.7481
18/02/2006,50.389
26/02/2006,49.8773
06/03/2006,58.5987
14/03/2006,55.9282
22/03/2006,47.4024
30/03/2006,61.4993
07/04/2006,60.09
15/04/2006,62.8856
23/04/2006,59.0245
01/05/2006,53.5139
09/05/2006,52.8712
17/05/2006,54.9569
25/05/2006,46.5438
02/06/2006,44.4741
10/06/2006,60.0888
18/06/2006,56.3344
26/06/2006,45.5751
04/07/2006,47.2926
12/07/2006,50.0636
20/07/2006,33.7457
28/07/2006,35.9054
05/08/2006,41.0795
13/08/2006,50.2027
21/08/2006,42.9095
29/08/2006,39.4413
06/09/2006,43.0684
14/09/2006,40.8768
22/09/2006,43.6286
30/09/2006,36.0589
08/10/2006,41.153
16/10/2006,38.2661
24/10/2006,41.1455
01/11/2006,31.9845
09/11/2006,28.0728
17/11/2006,32.4101
25/11/2006,37.7493
03/12/2006,29.5078
11/12/2006,36.5406
19/12/2006,33.734
27/12/2006,23.422
01/01/2007,31.9341
09/01/2007,36.1803
17/01/2007,36.609
25/01/2007,33.7815
02/02/2007,33.0158
10/02/2007,46.1566
18/02/2007,51.8433
26/02/2007,57.6953
06/03/2007,37.5748
14/03/2007,58.2009
22/03/2007,50.6018
30/03/2007,47.3374
07/04/2007,59.4256
15/04/2007,59.2049
23/04/2007,51.2428
01/05/2007,53.7314
09/05/2007,53.724
17/05/2007,47.7646
25/05/2007,53.1339
02/06/2007,52.0434
10/06/2007,47.7843
18/06/2007,37.8371
